nombre,codigo,hexadecimal,libro,cartilla
Peasant Blue,AP83-3,70AACD,Magic-Book-Nuevo,Ambiance Plus-64
Parlor Blue,AP83-2,9AC8E1,Magic-Book-Nuevo,Ambiance Plus-64
Blue Wish,AP83-1,B5D5E5,Magic-Book-Nuevo,Ambiance Plus-64
Penelope Pink,AP8-3,F2E7E2,Magic-Book-Nuevo,Ambiance Plus-64
Bluet,AP82-6,9ED4E8,Magic-Book-Nuevo,Ambiance Plus-64
Cerulean,AP82-5,5BB5DE,Magic-Book-Nuevo,Ambiance Plus-64
True Blue,AP82-4,008CC5,Magic-Book-Nuevo,Ambiance Plus-64
Castaway Blue,AP82-3,61AFD3,Magic-Book-Nuevo,Ambiance Plus-64
Sky Blue,AP82-2,95CBE3,Magic-Book-Nuevo,Ambiance Plus-64
Crystal Rain,AP82-1,A7D3E4,Magic-Book-Nuevo,Ambiance Plus-64
Felicia Rose,AP8-2,F4E3DE,Magic-Book-Nuevo,Ambiance Plus-64
Blue Steam,AP81-6,9CBBC7,Magic-Book-Nuevo,Ambiance Plus-64
Rainy Morn,AP81-5,749AAB,Magic-Book-Nuevo,Ambiance Plus-64
Rainy Night,AP81-4,41758D,Magic-Book-Nuevo,Ambiance Plus-64
Blue Comfort,AP81-3,73A5BB,Magic-Book-Nuevo,Ambiance Plus-64
Cool Morn,AP81-2,A9CBD8,Magic-Book-Nuevo,Ambiance Plus-64
Feeling Blue,AP81-1,B6D6DE,Magic-Book-Nuevo,Ambiance Plus-64
Snowbush Rose,AP8-1,F8E8E3,Magic-Book-Nuevo,Ambiance Plus-64
Winter Day,AP80-6,9CBFCC,Magic-Book-Nuevo,Ambiance Plus-64
Blue Shoal,AP80-5,749EB0,Magic-Book-Nuevo,Ambiance Plus-64
Nautical Blue,AP80-4,3784A7,Magic-Book-Nuevo,Ambiance Plus-64
Kind Sky,AP80-3,72B2CE,Magic-Book-Nuevo,Ambiance Plus-64
Blue Odyssey,AP80-2,AAD4E2,Magic-Book-Nuevo,Ambiance Plus-64
Early Day,AP80-1,B2D7E0,Magic-Book-Nuevo,Ambiance Plus-64
Blue Strata,AP79-6,9EC5D5,Magic-Book-Nuevo,Ambiance Plus-64
Blue Edge,AP79-5,73A4B8,Magic-Book-Nuevo,Ambiance Plus-64
Blue Madonna,AP79-4,2787AA,Magic-Book-Nuevo,Ambiance Plus-64
Joppa Blue,AP79-3,6CB4D1,Magic-Book-Nuevo,Ambiance Plus-64
Little Girl Blue,AP79-2,AAD5E1,Magic-Book-Nuevo,Ambiance Plus-64
Tweedia Blue,AP79-1,AED5DF,Magic-Book-Nuevo,Ambiance Plus-64
Blue Yonder,AP78-6,9AC8D6,Magic-Book-Nuevo,Ambiance Plus-64
Blue Repose,AP78-5,69ABC1,Magic-Book-Nuevo,Ambiance Plus-64
Clipper Blue,AP78-4,0F89AB,Magic-Book-Nuevo,Ambiance Plus-64
Blue Music,AP78-3,68B6D1,Magic-Book-Nuevo,Ambiance Plus-64
Blue Drop,AP78-2,A5D2E1,Magic-Book-Nuevo,Ambiance Plus-64
Heaven S Gate,AP78-1,AFDCE9,Magic-Book-Nuevo,Ambiance Plus-64
Blue Horizon,AP77-6,90C6D6,Magic-Book-Nuevo,Ambiance Plus-64
Blue Quilt,AP77-5,6B9FB0,Magic-Book-Nuevo,Ambiance Plus-64
Elation,AP77-4,008AAE,Magic-Book-Nuevo,Ambiance Plus-64
Blue Spell,AP77-3,5FB6D4,Magic-Book-Nuevo,Ambiance Plus-64
Composed,AP77-2,A3D4E1,Magic-Book-Nuevo,Ambiance Plus-64
Bleu Night,AP77-1,A9D2D8,Magic-Book-Nuevo,Ambiance Plus-64
Blue Pillow,AP76-6,8FC5D1,Magic-Book-Nuevo,Ambiance Plus-64
Cozy Blue,AP76-5,5CA8B8,Magic-Book-Nuevo,Ambiance Plus-64
Fresh Blue,AP76-4,008AAF,Magic-Book-Nuevo,Ambiance Plus-64
Story Blue,AP76-3,51B5D4,Magic-Book-Nuevo,Ambiance Plus-64
Winsome Blue,AP76-2,9AD5E6,Magic-Book-Nuevo,Ambiance Plus-64
Harmonious,AP76-1,A7D4DD,Magic-Book-Nuevo,Ambiance Plus-64
Iced Ginger,AP7-6,F7DFD2,Magic-Book-Nuevo,Ambiance Plus-64
Blue Blanket,AP75-6,90C6D1,Magic-Book-Nuevo,Ambiance Plus-64
Sensitive Blue,AP75-5,63ACBE,Magic-Book-Nuevo,Ambiance Plus-64
Florence Blue,AP75-4,0094B4,Magic-Book-Nuevo,Ambiance Plus-64
Blue Entry,AP75-3,57BBD0,Magic-Book-Nuevo,Ambiance Plus-64
Blue Puff,AP75-2,9CD8E4,Magic-Book-Nuevo,Ambiance Plus-64
Fragile Blue,AP75-1,B1D8E0,Magic-Book-Nuevo,Ambiance Plus-64
Lullaby,AP7-5,EAE0D9,Magic-Book-Nuevo,Ambiance Plus-64
Blue Note,AP74-6,93CCD6,Magic-Book-Nuevo,Ambiance Plus-64
Riverside Blue,AP74-5,65B0BD,Magic-Book-Nuevo,Ambiance Plus-64
Ocean Calm,AP74-4,0097A6,Magic-Book-Nuevo,Ambiance Plus-64
Engaging,AP74-3,5ABFCC,Magic-Book-Nuevo,Ambiance Plus-64
Blue Breeze,AP74-2,A0DBE1,Magic-Book-Nuevo,Ambiance Plus-64
Mermaid Flower,AP74-1,B7E2E7,Magic-Book-Nuevo,Ambiance Plus-64
White Peony,AP7-4,F2EAE5,Magic-Book-Nuevo,Ambiance Plus-64
Smooth Way,AP73-6,93D1CF,Magic-Book-Nuevo,Ambiance Plus-64
Woven Blue,AP73-5,67B6B7,Magic-Book-Nuevo,Ambiance Plus-64
Turkish Tile,AP73-4,009D9D,Magic-Book-Nuevo,Ambiance Plus-64
Persian Blue,AP73-3,57C5C6,Magic-Book-Nuevo,Ambiance Plus-64
Distant Blue,AP73-2,9EDEDD,Magic-Book-Nuevo,Ambiance Plus-64
Reflecting Green,AP73-1,B4E1DD,Magic-Book-Nuevo,Ambiance Plus-64
Drifting Cloud,AP7-3,F0E9E3,Magic-Book-Nuevo,Ambiance Plus-64
Cruising,AP72-6,A3E3D3,Magic-Book-Nuevo,Ambiance Plus-64
River Walk,AP72-5,67C1BA,Magic-Book-Nuevo,Ambiance Plus-64
Aegean Sea,AP72-4,00A499,Magic-Book-Nuevo,Ambiance Plus-64
Set Sail,AP72-3,5DC7C2,Magic-Book-Nuevo,Ambiance Plus-64
Cool Wave,AP72-2,A3E2DB,Magic-Book-Nuevo,Ambiance Plus-64
Venus Light,AP72-1,B2DFDB,Magic-Book-Nuevo,Ambiance Plus-64
White Dawn,AP7-2,EFE9E5,Magic-Book-Nuevo,Ambiance Plus-64
Scuba Sea,AP71-6,97DBCD,Magic-Book-Nuevo,Ambiance Plus-64
Shallow Pool,AP71-5,68C3B0,Magic-Book-Nuevo,Ambiance Plus-64
Paradise Waters,AP71-4,00AE91,Magic-Book-Nuevo,Ambiance Plus-64
Poolside,AP71-3,59CEBA,Magic-Book-Nuevo,Ambiance Plus-64
Spring Splash,AP71-2,A1E4D6,Magic-Book-Nuevo,Ambiance Plus-64
Nile Mist,AP71-1,8AA19A,Magic-Book-Nuevo,Ambiance Plus-64
Rose Fragrance,AP7-1,EFE2D8,Magic-Book-Nuevo,Ambiance Plus-64
Falling Water,AP70-6,9FD4C3,Magic-Book-Nuevo,Ambiance Plus-64
Shalimar,AP70-5,7EC2AB,Magic-Book-Nuevo,Ambiance Plus-64
Turquoise Beads,AP70-4,32A987,Magic-Book-Nuevo,Ambiance Plus-64
Aqua Glass,AP70-3,78CFB5,Magic-Book-Nuevo,Ambiance Plus-64
Crisp Green,AP70-2,B0E6D3,Magic-Book-Nuevo,Ambiance Plus-64
Lolita Green,AP70-1,90ABA0,Magic-Book-Nuevo,Ambiance Plus-64
Party Mint,AP69-6,ABD7B9,Magic-Book-Nuevo,Ambiance Plus-64
Spun Green,AP69-5,8DC49F,Magic-Book-Nuevo,Ambiance Plus-64
Green Fortune,AP69-4,4CAB70,Magic-Book-Nuevo,Ambiance Plus-64
Restful Green,AP69-3,89CEA3,Magic-Book-Nuevo,Ambiance Plus-64
Amenity,AP69-2,BBE4C7,Magic-Book-Nuevo,Ambiance Plus-64
Filtered Green,AP69-1,A7C2AD,Magic-Book-Nuevo,Ambiance Plus-64
Fern Wilt,AP68-6,B9D8B0,Magic-Book-Nuevo,Ambiance Plus-64
Painted Fern,AP68-5,96C18C,Magic-Book-Nuevo,Ambiance Plus-64
Beanstalk,AP68-4,5CAE67,Magic-Book-Nuevo,Ambiance Plus-64
Surrey Green,AP68-3,92D19A,Magic-Book-Nuevo,Ambiance Plus-64
Mild Mint,AP68-2,C5E1BA,Magic-Book-Nuevo,Ambiance Plus-64
Green Touch,AP68-1,D2E8C4,Magic-Book-Nuevo,Ambiance Plus-64
Clear Pond,AP67-6,C4DFB5,Magic-Book-Nuevo,Ambiance Plus-64
Slender Stem,AP67-5,A4C990,Magic-Book-Nuevo,Ambiance Plus-64
Summer Field,AP67-4,70BA5E,Magic-Book-Nuevo,Ambiance Plus-64
