code,name,hex
228G,Greens,#e3d6ae
229G,Greens,#7e7d5a
230G,Greens,#99926e
231G,Greens,#a79f7b
232G,Greens,#c0b590
233G,Greens,#d2c29c
234G,Greens,#e0cfa8
235G,Greens,#6b6348
236G,Greens,#867c5b
237G,Greens,#a99870
238G,Greens,#d0bb8e
239G,Greens,#dbc194
240G,Greens,#edd7a8
241G,Greens,#7d755a
242G,Greens,#9b8f72
243G,Greens,#a89b7b
244G,Greens,#b6a887
245G,Greens,#c6b494
246G,Greens,#dfcba7
247G,Greens,#736b59
248G,Greens,#968871
249G,Greens,#c2ae90
250G,Greens,#e8d2ac
251G,Greens,#f1dbb6
252G,Greens,#f8e5be
253G,Greens,#514c39
254G,Greens,#8f8b75
255G,Greens,#b3a78c
256G,Greens,#cabaa0
257G,Greens,#d2c0a3
258G,Greens,#e6d2b2
259G,Greens,#534a3f
260G,Greens,#665d4f
261G,Greens,#82796a
262G,Greens,#9d9282
263G,Greens,#beaf98
264G,Greens,#d1c0a3
001N,Neri,#232320
002N,Neri,#32322e
003N,Neri,#4d463f
004N,Neri,#5c564e
005N,Neri,#6f675c
006N,Neri,#766d61
007N,Neri,#887f72
008N,Neri,#918778
009N,Neri,#9f9380
010N,Neri,#ab9e89
011N,Neri,#b2a48f
012N,Neri,#c3b49c
013N,Neri,#d7c5a9
014N,Neri,#decbaf
015N,Neri,#e5d3b5
016N,Neri,#ebd9b9
017N,Neri,#f4dfbb
018N,Neri,#fbe6c1
0036,Nero,#171511
P100,Giallo sole,#ffc900
P182,Rosso ducale,#bd111f
186 N618,Verde zinco,#3b452e
186 N628,Ardesia,#636058
186 N607,Testa di moro,#452a24
186 N641,Marrone lattonieri,#382d25
I070,Alluminio,#9a9080
I292,Grigio ferro,#6f6d65
I291,Verde macchina,#686c41
I294,Marrone noce,#673a21
I285,Rosso fuoco,#c02623
I284,Arancio puro,#e95410
I284,Giallo oro,#ec9700
0919,Bloccamianto grigio chiaro,#cdb38f
10RR 83/009,Vela Aromática,#fee5c6
04YR 82/010,Sensación Diáfana,#ffe6c9
10RB 83/012,Sendero de Pingüinos,#fde6ca
30RR 83/020,Espíritu Sereno,#ffe4c7
10RR 83/026,Encaje Fino,#ffe7cb
